Research paper names,Citations,URL,Problem addressed,Challenges,Failures,Limitations,References
"Prompting Multilingual Large Language Models to Generate Code-Mixed
Texts: The Case of South East Asian Languages",27,https://arxiv.org/pdf/2303.13592,,,,,
Understanding and Mitigating Language Confusion in LLMs,9,https://arxiv.org/pdf/2406.20052?,,,,,
How Does Quantization Affect Multilingual LLMs?,4,https://arxiv.org/pdf/2407.03211,,,,,
"Multilingual Pretraining Using a Large Corpus Machine-Translated from 
a Single Source Language",0,https://arxiv.org/pdf/2410.23956,,,,,
Do Multilingual Language Models Think Better in English?,38,https://arxiv.org/pdf/2308.01223,,,,,
"A Survey on Large Language Models with Multilingualism: Recent Advances 
and New Frontiers",11,https://arxiv.org/pdf/2405.10936,,,,,
"Responsible Multilingual Large Language Models: A Survey of Development, 
Applications, and Societal Impact",2,https://arxiv.org/pdf/2410.17532,,,,,
"Intent-Aware Dialogue Generation and Multi-Task Contrastive Learning for 
Multi-Turn Intent Classification",1,https://arxiv.org/pdf/2411.14252,,,,,
"Balancing Accuracy and Efficiency in Multi-Turn Intent Classification for 
LLM-Powered Dialog Systems in Production",0,https://arxiv.org/pdf/2411.12307,,,,,
"Is Translation All You Need? A Study on Solving Multilingual Tasks 
with Large Language Models",23,https://arxiv.org/pdf/2403.10258,,,,,
"1+1>2: Can Large Language Models Serve as Cross-Lingual Knowledge 
Aggregators?",1,https://arxiv.org/pdf/2406.14721,,,,,
A survey of multilingual large language models,0,https://www.cell.com/patterns/pdf/S2666-3899(24)00290-3.pdf,,,,,
Lens: Rethinking Multilingual Enhancement for Large Language Models,0,https://arxiv.org/pdf/2410.04407,,,,,
"Breaking the Programming Language Barrier: Multilingual Prompting to 
Empower Non-Native English Learners",0,https://arxiv.org/pdf/2412.12800,,,,,
"Bridging the Gap: Dynamic Learning Strategies for Improving Multilingual 
Performance in LLMs",0,https://arxiv.org/pdf/2405.18359,,,,,
Zero-shot cross-lingual transfer in instruction tuning of large language models,4,https://arxiv.org/pdf/2402.14778,,,,,
"Crosslingual Capabilities and Knowledge Barriers in Multilingual Large 
Language Models",0,https://arxiv.org/pdf/2406.16135,,,,,
"Breaking the Language Barrier: Can Direct Inference Outperform Pre-Translation 
in Multilingual LLM Applications?",5,https://arxiv.org/pdf/2403.04792,,,,,
Training Bilingual LMs with Data Constraints in the Targeted Language,0,https://arxiv.org/pdf/2411.12986,,,,,
"LLMs Beyond English: Scaling the Multilingual Capability of LLMs with
Cross-Lingual Feedback",13,https://arxiv.org/pdf/2406.01771,,,,,
